股票代码,股票简称,现价(元),涨跌幅(%),QFII持股比例(%)2018.09.30,QFII持股数量(股)2018.09.30,QFII持股市值(元)2018.09.30,QFII持股家数(家)2018.09.30,QFII持股选股明细
603737.SH,三棵树,42.23,2.25,2.00,850558.00,35493785.34,1.,--
600054.SH,黄山旅游,10.13,1.61,1.99,10212938.00,107031590.24,1.,--
002400.SZ,省广集团,3.08,1.65,1.98,32774841.00,98324523.00,1.,--
600563.SH,法拉电子,40.55,1.15,1.94,4366656.00,193399194.24,1.,--
600827.SH,百联股份,9.05,1.69,1.87,28813082.00,265944746.86,1.,--
000418.SZ,小天鹅A,48.26,0.96,1.84,8070506.00,375278529.00,1.,--
601066.SH,中信建投,10.04,1.93,1.78,7134677.00,56435295.07,1.,--
000998.SZ,隆平高科,14.15,1.07,1.74,16833178.00,264617558.16,1.,--
002595.SZ,豪迈科技,15.60,-0.32,1.74,9200382.00,119788973.64,1.,--
300070.SZ,碧水源,9.97,-1.68,1.74,35013398.00,350133980.00,1.,--
002142.SZ,宁波银行,17.10,0.77,1.72,79791098.00,1417089900.48,1.,--
600585.SH,海螺水泥,32.90,-3.60,1.72,68700065.00,2527475391.35,3.,--
300206.SZ,理邦仪器,6.27,2.62,1.71,5862252.00,39218472.57,1.,--
002572.SZ,索菲亚,19.46,0.52,1.68,10722913.00,234295649.05,1.,--
002415.SZ,海康威视,28.80,3.37,1.61,127511681.00,3664685711.94,2.,--
002878.SZ,元隆雅图,24.76,0.53,1.61,583052.00,13526806.40,1.,--
601888.SH,中国国旅,55.16,0.90,1.61,31398353.00,2135715971.06,2.,--
600521.SH,华海药业,14.33,-1.17,1.55,19204113.00,420378033.57,1.,--
600671.SH,天目药业,17.90,-0.28,1.53,1864013.00,32061023.60,1.,--
600686.SH,金龙汽车,8.44,2.43,1.53,9283154.00,96730464.68,1.,--
001979.SZ,招商蛇口,18.70,-0.11,1.53,29028305.00,542539020.45,1.,--
002273.SZ,水晶光电,10.74,1.51,1.51,12195109.00,126829133.60,2.,--
002304.SZ,洋河股份,95.55,0.49,1.50,18623888.00,2383857664.00,2.,--
600889.SH,南京化纤,5.28,2.13,1.49,4574474.00,23146838.44,1.,--
600533.SH,栖霞建设,3.47,0.29,1.48,15509655.00,47769737.40,1.,--
603225.SH,新凤鸣,21.79,-1.98,1.46,1736124.00,39062790.00,1.,--
000785.SZ,武汉中商,7.35,1.52,1.44,3627910.00,27862356.48,1.,--
600176.SH,中国巨石,10.45,1.75,1.44,50364961.00,534372236.21,1.,--
600323.SH,瀚蓝环境,13.92,0.51,1.42,10907777.00,150636400.37,1.,--
600298.SH,安琪酵母,22.77,0.84,1.42,11724783.00,345763850.67,2.,--
600276.SH,恒瑞医药,62.31,-2.99,1.35,49426579.00,3138587766.50,1.,--
002025.SZ,航天电器,26.11,-1.10,1.35,5780111.00,158259439.18,1.,--
603833.SH,欧派家居,87.99,3.03,1.33,1229292.00,116475417.00,1.,--
002262.SZ,恩华药业,12.32,-2.99,1.32,11686858.00,163031669.10,1.,--
002324.SZ,普利特,9.94,1.53,1.29,3023423.00,32683202.63,1.,--
002081.SZ,金螳螂,9.03,-0.11,1.27,32571672.00,292819331.28,1.,--
600519.SH,贵州茅台,560.00,0.05,1.25,15729516.00,11482546680.00,2.,--
002801.SZ,微光股份,22.18,-2.72,1.25,366700.00,7957390.00,1.,--
000729.SZ,燕京啤酒,6.04,1.17,1.24,31195765.00,205580091.35,1.,--
002108.SZ,沧州明珠,4.44,0.68,1.24,17537698.00,80322656.84,2.,--
300433.SZ,蓝思科技,8.71,1.28,1.23,48123796.00,475463104.48,3.,--
002236.SZ,大华股份,14.27,3.26,1.23,22491130.00,332193990.10,1.,--
600479.SH,千金药业,9.31,1.97,1.18,4935185.00,42294535.45,1.,--
002292.SZ,奥飞娱乐,6.68,3.73,1.16,8824595.00,56124424.20,1.,--
002043.SZ,兔宝宝,5.97,0.85,1.15,7999847.00,54638955.01,1.,--
603619.SH,中曼石油,19.10,-0.68,1.14,457568.00,11096024.00,2.,--
601155.SH,新城控股,25.96,1.21,1.13,8143005.00,213265300.95,1.,--
002508.SZ,老板电器,22.14,2.26,1.10,10310631.00,241474978.02,1.,--
002470.SZ,金正大,6.47,3.85,1.09,29811839.00,201528031.64,1.,--
600781.SH,辅仁药业,16.12,0.37,1.08,1925652.00,30733405.92,1.,--
000852.SZ,石化机械,9.18,-0.22,1.06,6342417.00,70527677.04,1.,--
000792.SZ,盐湖股份,8.17,0.00,1.03,28324450.00,257186006.00,1.,--
002925.SZ,盈趣科技,45.00,2.23,1.00,749199.00,33226975.65,1.,--
600426.SH,华鲁恒升,14.04,-0.99,1.00,16117029.00,277374069.09,1.,--
600835.SH,上海机电,16.12,2.35,1.00,8033558.00,128536928.00,1.,--
600007.SH,中国国贸,14.68,0.14,1.00,10024491.00,152272018.29,1.,--
002074.SZ,国轩高科,12.94,0.16,0.99,9934667.00,136005591.23,1.,--
300089.SZ,文化长城,6.45,-0.16,0.98,2724071.00,14083447.07,1.,--
600535.SH,天士力,22.20,-0.94,0.98,14827258.00,339247663.04,1.,--
002648.SZ,卫星石化,10.60,0.67,0.95,9870086.00,110248860.62,1.,--
002410.SZ,广联达,26.60,0.95,0.93,8194370.00,219445228.60,1.,--
000963.SZ,华东医药,34.68,-4.52,0.92,12031445.00,505080061.10,1.,--
601811.SH,新华文轩,9.86,2.50,0.90,1796153.00,16937722.79,1.,--
603339.SH,四方科技,16.28,1.69,0.89,514064.00,8656837.76,1.,--
600486.SH,扬农化工,41.44,-0.48,0.88,2729449.00,126537255.64,1.,--
000976.SZ,华铁股份,4.61,5.98,0.85,5002059.00,23259574.35,1.,--
603808.SH,歌力思,17.91,4.07,0.83,2748625.00,48100937.50,1.,--
002322.SZ,理工环科,10.30,2.79,0.83,2389220.00,25277947.60,1.,--
002027.SZ,分众传媒,6.22,0.81,0.83,57580177.00,490007306.27,1.,--
600981.SH,汇鸿集团,5.00,-0.40,0.82,1990701.00,8221595.13,2.,--
002353.SZ,杰瑞股份,18.69,-0.90,0.82,5538896.00,120637154.88,1.,--
600183.SH,生益科技,9.66,0.94,0.82,17388402.00,183099873.06,1.,--
002250.SZ,联化科技,9.54,1.71,0.81,7211755.00,56540159.20,1.,--
600897.SH,厦门空港,20.93,0.10,0.81,2408210.00,49199730.30,1.,--
601519.SH,大智慧,3.98,2.05,0.80,15911883.00,54100402.20,1.,--
600802.SH,福建水泥,8.01,0.13,0.78,2983978.00,24259741.14,1.,--
000759.SZ,中百集团,5.84,1.74,0.77,5267255.00,33763104.55,1.,--
603989.SH,艾华集团,22.99,0.44,0.77,3008547.00,68263931.43,1.,--
300668.SZ,杰恩设计,20.62,-0.24,0.77,301900.00,5207775.00,1.,--
002419.SZ,天虹股份,12.15,2.10,0.77,9207590.00,103861615.20,1.,--
600779.SH,水井坊,28.90,0.45,0.76,3709534.00,151719940.60,1.,--
